color_name,quantity,color_hex,material,thickness,last_used_date,price
大红色,15,#E74C3C,羊毛,中粗,2024-08-15,28.0
玫瑰红,8,#C0392B,棉,中,2023-12-20,22.0
橙色,6,#E67E22,腈纶,中,2025-01-10,15.0
金黄色,4,#F39C12,羊毛,细,2024-06-05,30.0
柠檬黄,10,#F1C40F,棉,中,2024-09-22,18.0
嫩绿色,3,#2ECC71,腈纶,细,2023-05-18,14.0
深绿色,5,#27AE60,羊毛,中粗,2024-11-30,26.0
青色,2,#1ABC9C,棉,中,2022-10-01,20.0
天蓝色,12,#3498DB,羊毛,中,2025-02-14,25.0
藏青色,7,#2980B9,腈纶,中粗,2024-07-08,16.0
紫色,9,#8E44AD,羊毛,中,2024-03-25,32.0
浅紫色,4,#9B59B6,棉,细,2023-09-12,21.0
粉色,11,#E91E63,腈纶,中,2025-04-01,17.0
桃粉色,3,#FF69B4,棉,细,2024-12-18,19.0
米白色,14,#F5F5DC,羊毛,中粗,2025-03-20,24.0
纯白色,9,#FFFFFF,棉,中,2025-01-05,16.0
浅灰色,6,#BDC3C7,腈纶,中,2024-10-15,13.0
深灰色,8,#7F8C8D,羊毛,中粗,2024-08-30,27.0
纯黑色,5,#2C3E50,棉,中,2024-05-20,18.0
驼色,7,#A0522D,羊毛,粗,2024-02-14,35.0
米色,3,#D2B48C,腈纶,中,2023-11-11,15.0
棕色,4,#8B4513,棉,中粗,2024-06-18,20.0
珊瑚色,2,#FF7F50,羊毛,细,2023-03-08,29.0
酒红色,6,#8B0000,腈纶,中粗,2024-09-01,18.0
薄荷绿,3,#98FF98,棉,细,2024-12-01,17.0
